Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2018-02-23,84.32017517089844,126.13999938964844,159.39718627929688,241.79043579101562,84.42297958592407,126.30000305175781,159.39718627929688,241.79043579101562,84.27273069203919,125.8499984741211,156.81907754422528,238.74506842987495,84.30436235565301,126.05999755859375,157.4636119593902,239.22036567230847,2398100,4239700,50096900,92766400
2018-02-26,84.38343811035156,126.44999694824219,161.5108184814453,244.59811401367188,84.57322205803936,126.62000274658203,161.5108184814453,244.6949462363937,84.3676252951788,126.18000030517578,160.01325431702793,242.27448985528216,84.5178681552503,126.44999694824219,160.14595042512028,242.86418600441795,4617300,3194300,39266700,86491400
2018-02-27,84.20154571533203,125.12999725341797,159.5109100341797,241.5438690185547,84.47040574806492,126.1500015258789,161.82362633010698,245.49583131620943,84.12246355688436,124.58999633789062,159.435096073507,241.48225097241271,84.43877409131018,126.05999755859375,161.55823407937365,244.7828723804004,5704700,7082300,42209900,99099200
2018-02-28,84.43091583251953,125.0,158.48724365234375,239.0970916748047,84.43091583251953,125.45999908447266,160.94212891148004,243.09305288834784,84.24904123736891,124.80999755859375,158.38298139030985,238.78024480369112,84.2885763074287,125.08999633789062,160.42081760131043,242.64415962706857,9614100,4534900,42936300,121907800
2018-03-01,84.50617980957031,124.72000122070312,155.899658203125,235.62042236328125,84.57750956328772,125.30999755859375,159.30239163822753,240.43493091456583,84.30805033853429,123.58000183105469,154.49686859916835,234.12412958786794,84.43485610228453,124.1500015258789,158.57255575538582,238.88583033395267,7335500,12910100,76809900,176855100
2018-03-02,84.37144470214844,125.38999938964844,157.33094787597656,236.8350067138672,84.4427744486643,125.69000244140625,157.60581333217914,237.39832573097647,84.2921941310216,124.97000122070312,153.51117857117998,233.08551859078392,84.37937157319043,125.66999816894531,154.023002492756,233.94806390250494,3717300,9994300,57445100,139083200
2018-03-05,84.32389068603516,125.18000030517578,159.07492065429688,239.5723419189453,84.52202012559518,125.4800033569336,159.48248217509507,240.18846875059273,84.2287863783313,124.95999908447266,156.0039344711269,235.541167333542,84.48239181911092,125.3499984741211,156.59160115936658,235.64680979709024,3307200,5778300,38540200,97307400
2018-03-06,84.33977508544922,126.52999877929688,159.74786376953125,240.1796875,84.45072713617473,126.95999908447266,160.28813584740146,240.62858072756487,84.30807363575146,126.12999725341797,158.7431624978349,238.68339464847247,84.36354966111422,126.19999694824219,159.85212604090307,240.5493421552027,1932100,8676800,29480900,79213200
2018-03-07,84.32389068603516,125.72000122070312,160.11752319335938,240.09164428710938,84.4427695590573,126.29000091552734,160.25023378171315,240.4437052620397,84.30011612071685,125.41999816894531,158.25030430610852,237.82082816735752,84.41106812315601,126.22000122070312,158.52516968662982,238.0144657326488,3448700,5158700,34609400,87063500
2018-03-08,84.4586410522461,125.41999816894531,160.9990234375,241.25344848632812,84.50619019628093,125.69999694824219,161.11275884674902,241.37665772949185,84.33976214572668,125.12999725341797,160.13649134991192,239.77477640519388,84.33976214572668,125.69000244140625,160.78102574884153,240.76934118536022,2396200,3474900,25828400,66901200
